岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
滋补顾问 ,北京小仙炖商贸有限公司,民营,500-1000人,珠宝/首饰,杭州,1-1.8万,2年及以上,,无要求,门店销售,发展空间; 五险一金; 员工旅游; 年终奖金; 专业培训; 定期体检; 零食下午茶; 带薪年假; 带薪病假; 有餐补; 出差补贴,门店/柜台销售; 收藏品/工艺品/艺术品; 日化/化妆品; 食品/饮料/粮油; 批发/零售; 销售; 维护客户关系; 高端女装; 健康管理师; 奢侈品; 销售提升; 公共营养师; 门店日常运营; 精品零售; 高端品牌销售,小仙炖定位为滋补奢侈品品牌，连续 8 年,杭州,14.0千元/月,2.0,2.0年,0,"['发展空间', '五险一金', '员工旅游', '年终奖金', '专业培训', '定期体检', '零食下午茶', '带薪年假', '带薪病假', '有餐补', '出差补贴']","['门店/柜台销售', '收藏品/工艺品/艺术品', '日化/化妆品', '食品/饮料/粮油', '批发/零售', '销售', '维护客户关系', '高端女装', '健康管理师', '奢侈品', '销售提升', '公共营养师', '门店日常运营', '精品零售', '高端品牌销售']"
采购工程师/主管 ,浙江能丰光电科技有限公司,民营,少于50人,新能源,湖州,8千-1.5万·14薪,3年及以上,本科,无要求,采购主管,五险一金; 定期体检; 餐饮补贴; 节日福利; 带薪年假,电子/半导体/集成电路; 汽车零部件; 原材料和加工; 新能源,1.工作职责： 1)供应商管理：负责供应,杭州,11.5千元/月,3.0,3.0年,3,"['五险一金', '定期体检', '餐饮补贴', '节日福利', '带薪年假']","['电子/半导体/集成电路', '汽车零部件', '原材料和加工', '新能源']"
招募经纪人（接受小白） ,杭州景域文化传媒有限公司,创业公司,少于50人,文化艺术/娱乐,杭州,8千-1.3万,无需经验,大专,普通话,经纪人/星探,绩效奖金; 年终奖金,谈判; 日常管理; 抖音; 直播; 短视频; 意向跟进; 信息整理; 能力评估; 前期咨询; 主播资源,岗位职责  1. 负责通过抖音、BOSS,杭州,10.5千元/月,0.0,0.0年,2,"['绩效奖金', '年终奖金']","['谈判', '日常管理', '抖音', '直播', '短视频', '意向跟进', '信息整理', '能力评估', '前期咨询', '主播资源']"
大区招商经理 ,浙江视方极医药科技有限公司,民营,50-150人,制药/生物工程,杭州-钱塘区,1.5-3万,5年及以上,本科,无要求,医药招商,五险一金; 餐饮补贴; 专业培训; 定期体检; 培训; 带薪年假; 零食下午茶; 包住; 交通补贴; 通讯补贴; 有餐补; 定期团建; 出差补贴,制药/生物工程; 销售; 药学; 培训; 招聘; 医学; 谈判; 招标; 市场分析; 绩效管理; 市场活动,岗位职责： 1.根据公司战略目标，设立区,杭州,22.5千元/月,5.0,5.0年,3,"['五险一金', '餐饮补贴', '专业培训', '定期体检', '培训', '带薪年假', '零食下午茶', '包住', '交通补贴', '通讯补贴', '有餐补', '定期团建', '出差补贴']","['制药/生物工程', '销售', '药学', '培训', '招聘', '医学', '谈判', '招标', '市场分析', '绩效管理', '市场活动']"
采购工程师（项目采购） ,杭州联德精密机械股份有限公司,合资,1000-5000人,机械/设备/重工,杭州-钱塘区,7千-1万·13薪,3年及以上,本科,英语听说读写流利,采购员,五险一金; 高温补贴; 专业培训; 节日福利; 餐饮补贴; 定期体检; 员工旅游; 带薪年假; 年终奖金; 出国机会; 有餐补; 免费班车; 包住,机械/设备/重工; 贸易/进出口; 法律; 数据分析; erp; 成本控制; 订舱; 检测; 采购计划; 分析报告; 英语读写; 审批; 采购合同,【工作内容】 1、负责接收海外工厂物料需,杭州,8.5千元/月,3.0,3.0年,3,"['五险一金', '高温补贴', '专业培训', '节日福利', '餐饮补贴', '定期体检', '员工旅游', '带薪年假', '年终奖金', '出国机会', '有餐补', '免费班车', '包住']","['机械/设备/重工', '贸易/进出口', '法律', '数据分析', 'erp', '成本控制', '订舱', '检测', '采购计划', '分析报告', '英语读写', '审批', '采购合同']"
商场营运经理 ,杭州联华华商集团有限公司,国企,10000人以上,批发/零售,杭州-拱墅区,14-18万/年,3年及以上,大专,无要求,运营经理,五险一金; 绩效奖金; 定期体检; 员工旅游; 带薪年假; 培训,社区运营; 线下运营; 数据运营; 活动运营; 用户运营; 预算; 接待; 物业; 现场管理; 运营管理; 合同管理; 装修; 催收; 发票开具; 收集市场信息,1、合同管理、预算与销售管理 1.1 经,杭州,13.3千元/月,3.0,3.0年,2,"['五险一金', '绩效奖金', '定期体检', '员工旅游', '带薪年假', '培训']","['社区运营', '线下运营', '数据运营', '活动运营', '用户运营', '预算', '接待', '物业', '现场管理', '运营管理', '合同管理', '装修', '催收', '发票开具', '收集市场信息']"
Birkenstock 湖滨银泰 店铺主管 ,俊思（上海）商业有限公司,外资（非欧美）,500-1000人,服装,杭州-上城区,1.2-1.5万,5-10年,大专,普通话听说读写流利,门店经理/店长,五险一金; 带薪年假; 节日福利; 餐饮补贴; 交通补贴; 生日假; 服务周年假; 免费工服,服装; 纺织/皮革; 批发/零售; 日化/化妆品; 玩具/礼品; crm; 销售报表; 货品管理; 销售数据; 店铺营运; 销售技巧; 顾客咨询; 销售; 陈列管理; 销售目标,【品牌信息】 BIRKENSTOCK是创,杭州,13.5千元/月,7.5,7.5年,2,"['五险一金', '带薪年假', '节日福利', '餐饮补贴', '交通补贴', '生日假', '服务周年假', '免费工服']","['服装', '纺织/皮革', '批发/零售', '日化/化妆品', '玩具/礼品', 'crm', '销售报表', '货品管理', '销售数据', '店铺营运', '销售技巧', '顾客咨询', '销售', '陈列管理', '销售目标']"
展厅经理/汽车销售主管 ,宝爱捷（中国）汽车投资有限公司,外资（欧美）,1000-5000人,4S店/车后市场,杭州-萧山区,1.2-1.5万,5年及以上,大专,无要求,销售主管,培训; 五险一金; 补充医疗保险; 带薪年假; 专业培训; 定期体检; 免费工作餐,有团队管理经验; 4S店/车后市场; 销售; 销售计划; 培训计划; 日常管理; 营销策略; 销售流程; 报表管理; 日常考评; 接待话术; 绩效考核,岗位职责 1. 销售计划 负责监督和实施,杭州,13.5千元/月,5.0,5.0年,2,"['培训', '五险一金', '补充医疗保险', '带薪年假', '专业培训', '定期体检', '免费工作餐']","['有团队管理经验', '4S店/车后市场', '销售', '销售计划', '培训计划', '日常管理', '营销策略', '销售流程', '报表管理', '日常考评', '接待话术', '绩效考核']"
运动医学及耳鼻喉市场经理 ,杭州得道医疗设备科技有限公司,民营,50-150人,医疗设备/器械,杭州-桐庐县,1.5-3万,3年及以上,本科,无要求,市场/营销/拓展经理,培训; 五险; 补充医疗保险; 年终奖金; 绩效奖金; 项目奖金; 专业培训; 定期体检; 免费工作餐; 出差补贴; 员工旅游,市场推广; 市场营销; 市场开发; 策略规划; 营销策划及执行; 市场信息收集及分析; 市场战略规划; 市场数据分析; 医疗设备/器械; 运动医学; 耳鼻喉科; 动力系统,岗位职责： 1. 市场策略与产品推广 负,杭州,22.5千元/月,3.0,3.0年,3,"['培训', '五险', '补充医疗保险', '年终奖金', '绩效奖金', '项目奖金', '专业培训', '定期体检', '免费工作餐', '出差补贴', '员工旅游']","['市场推广', '市场营销', '市场开发', '策略规划', '营销策划及执行', '市场信息收集及分析', '市场战略规划', '市场数据分析', '医疗设备/器械', '运动医学', '耳鼻喉科', '动力系统']"
保安主管 ,,,,,杭州-临平区,4-6.5千,2年,高中,无要求,保安经理; 保安,节日福利; 高温补贴; 通讯补贴,长白班; 有保安经验; 退伍军人; 无犯罪记录; 消防设施操作证; 保安证; 普通小区; 物业; 保安; 保安经理; 保安队长; 秩序维护主管,1.负责保安队伍日常管理与培训，根据公司,杭州,23.2千元/月,2.0,2.0年,1,"['节日福利', '高温补贴', '通讯补贴']","['长白班', '有保安经验', '退伍军人', '无犯罪记录', '消防设施操作证', '保安证', '普通小区', '物业', '保安', '保安经理', '保安队长', '秩序维护主管']"
